,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
84,ChEMBL,assays_both_50_1_ac5_av,Semantically-Joinable,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_chmbl_d', 'assays_ss_d', 'assays_td', 'assays_tss_d', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_src_d']",,0.0,0.0,0.0
104,ChEMBL,assays_vertical_30_ec_av,Semantically-Joinable,1.0,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]","['assay_id', 'tissue_id', 'cell_id', 'chembl_id', 'curated_by', 'src_assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain']","['chembl_id', 'assay_id', 'tid', 'cell_id', 'assay_cell_type', 'assay_tissue', 'tissue_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_subcellular_fraction', 'curated_by', 'src_id']",,0.83,1.0,0.71
106,ChEMBL,assays_vertical_30_ac1_av,Semantically-Joinable,1.0,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]","['assay_id', 'bao_format', 'assay_type', 'tid', 'assay_test_type', 'curated_by', 'doc_id', 'description', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['assays_chembl_id', 'assays_assay_id', 'assays_tid', 'assays_cell_id', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_assay_type', 'assays_curated_by', 'assays_assay_test_type', 'assays_src_id']",0 days 00:01:06.227685,0.73,0.67,0.8
115,ChEMBL,assays_vertical_50_ac2_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tid', 'assay_tax_id', 'variant_id', 'confidence_score', 'relationship_type', 'chembl_id', 'src_id', 'doc_id', 'assay_organism', 'assay_type', 'description', 'assay_test_type', 'assay_category', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['CHEI', 'ASSI', 'DOI', 'T', 'CI', 'ASSORGA', 'ASSTAI', 'TISI', 'BAFO', 'CONFISC', 'RELATT', 'ASTY', 'ASSUBCELFRAC', 'CURAB', 'SI']",,0.31,0.2,0.67
126,ChEMBL,assays_both_50_70_ac5_av,Semantically-Joinable,1.0,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_category', 'assay_cell_type', 'variant_id', 'assay_type', 'tissue_id', 'assay_tissue', 'bao_format', 'relationship_type', 'doc_id', 'chembl_id', 'assay_strain', 'assay_test_type', 'src_assay_id', 'assay_subcellular_fraction', 'curated_by', 'description', 'assay_organism', 'assay_tax_id']","['assays_ss_d', 'assays_chmbl_d', 'assays_dc_d', 'assays_td', 'assays_ss_tss', 'assays_tss_d', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_tp', 'assays_crtd_b', 'assays_ss_tst_tp', 'assays_ss_sbclllr_frctn', 'assays_src_d', 'assays_ss_strn']",,0.0,0.0,0.0
133,ChEMBL,assays_vertical_70_ac5_av,Semantically-Joinable,1.0,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tid', 'assay_category', 'assay_test_type', 'confidence_score', 'assay_strain', 'relationship_type', 'assay_subcellular_fraction', 'assay_tissue', 'assay_cell_type', 'curated_by', 'description', 'assay_type', 'src_id', 'variant_id', 'doc_id', 'assay_organism', 'assay_tax_id', 'src_assay_id']","['assays_chmbl_d', 'assays_ss_d', 'assays_dscrptn', 'assays_dc_d', 'assays_td', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_tss_d', 'assays_ss_tss', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_tp', 'assays_crtd_b', 'assays_ss_sbclllr_frctn', 'assays_ss_tst_tp', 'assays_ss_strn', 'assays_src_d']",,0.0,0.0,0.0
144,ChEMBL,assays_both_50_1_ac2_av,Semantically-Joinable,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['CHI', 'ASI', 'Ti', 'TISI', 'CI', 'BFOR', 'CONFISCO', 'RELATITY', 'CURB', 'SI']",,1.0,1.0,1.0
172,ChEMBL,assays_both_50_30_ac3_av,Semantically-Joinable,1.0,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'assay_tax_id', 'assay_cell_type', 'assay_strain', 'bao_format', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tissue', 'tid']","['ss_d', 'chmbl_d', 'ss_tx_d', 'tss_d', 'ss_cll_tp', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'ss_sbclllr_frctn', 'src_d', 'ss_strn']",,0.0,0.0,0.0
191,ChEMBL,assays_both_50_1_ac1_av,Semantically-Joinable,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_assay_id', 'assays_chembl_id', 'assays_tid', 'assays_tissue_id', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_src_id']",,0.5,1.0,0.33
201,ChEMBL,assays_vertical_1_ac2_av,Semantically-Joinable,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['ASSI', 'CHEI', 'T', 'CI', 'TISI', 'BAFOR', 'CONSCO', 'RELATITY', 'CURB', 'SRI']",,0.0,0.0,0.0
218,ChEMBL,assays_both_50_70_ec_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]","['assay_id', 'assay_subcellular_fraction', 'assay_tissue', 'tid', 'confidence_score', 'curated_by', 'assay_organism', 'tissue_id', 'relationship_type', 'assay_type', 'assay_tax_id', 'assay_cell_type', 'variant_id', 'src_assay_id', 'cell_id', 'chembl_id', 'doc_id', 'description', 'assay_test_type']","['chembl_id', 'assay_id', 'tid', 'assay_organism', 'assay_tax_id', 'assay_tissue', 'tissue_id', 'cell_id', 'assay_cell_type', 'bao_format', 'confidence_score', 'relationship_type', 'assay_subcellular_fraction', 'assay_type', 'curated_by', 'assay_strain', 'src_id']",,0.97,1.0,0.93
230,ChEMBL,assays_both_50_50_ac1_av,Semantically-Joinable,1.0,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]","['assay_id', 'src_assay_id', 'assay_tax_id', 'assay_tissue', 'variant_id', 'assay_subcellular_fraction', 'confidence_score', 'assay_type', 'relationship_type', 'curated_by', 'doc_id', 'description', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_strain', 'assay_cell_type']","['assays_chembl_id', 'assays_assay_id', 'assays_doc_id', 'assays_tid', 'assays_assay_tax_id', 'assays_tissue_id', 'assays_assay_tissue', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_assay_type', 'assays_curated_by', 'assays_src_id']",0 days 00:02:17.026186,0.67,0.67,0.67
233,ChEMBL,assays_both_50_70_ac4_av,Semantically-Joinable,1.0,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'cell_id', 'curated_by', 'tissue_id', 'assay_subcellular_fraction', 'assay_type', 'src_assay_id', 'assay_tax_id', 'assay_organism', 'variant_id', 'confidence_score', 'doc_id', 'src_id', 'bao_format', 'chembl_id', 'assay_strain', 'description', 'assay_test_type', 'assay_category']","['assays_ASSI', 'assays_CHI', 'assays_DOI', 'assays_T', 'assays_ASSTI', 'assays_ASORG', 'assays_ASTI', 'assays_TII', 'assays_CI', 'assays_ASCET', 'assays_BFO', 'assays_CONFSCO', 'assays_RELATITY', 'assays_ASSTY', 'assays_CURAB', 'assays_ASSSUBCEFRAC', 'assays_ASST', 'assays_SRI']",,0.0,0.0,0.0
237,ChEMBL,assays_both_50_50_ac5_av,Semantically-Joinable,1.0,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_test_type', 'variant_id', 'bao_format', 'assay_cell_type', 'src_id', 'curated_by', 'src_assay_id', 'tid', 'cell_id', 'assay_strain', 'doc_id', 'description', 'assay_type', 'assay_category', 'assay_organism', 'assay_tax_id']","['assays_chmbl_d', 'assays_ss_d', 'assays_td', 'assays_ss_tss', 'assays_tss_d', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_ss_tst_tp', 'assays_ss_strn', 'assays_src_d']",,0.0,0.0,0.0
246,ChEMBL,assays_vertical_50_ac3_av,Semantically-Joinable,1.0,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'chembl_id', 'curated_by', 'assay_tissue', 'tissue_id', 'assay_subcellular_fraction', 'doc_id', 'cell_id', 'bao_format', 'variant_id', 'assay_cell_type', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id']","['chmbl_d', 'ss_d', 'dc_d', 'td', 'ss_cll_tp', 'cll_d', 'tss_d', 'ss_tss', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_sbclllr_frctn', 'crtd_b', 'ss_strn', 'src_d']",,0.0,0.0,0.0
252,ChEMBL,assays_both_50_70_ac1_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","['assay_id', 'variant_id', 'assay_tissue', 'src_assay_id', 'src_id', 'relationship_type', 'tid', 'tissue_id', 'description', 'confidence_score', 'chembl_id', 'assay_organism', 'assay_subcellular_fraction', 'assay_type', 'assay_tax_id', 'assay_test_type', 'doc_id', 'assay_category', 'assay_strain']","['assays_chembl_id', 'assays_assay_id', 'assays_description', 'assays_tid', 'assays_assay_tax_id', 'assays_assay_organism', 'assays_tissue_id', 'assays_assay_tissue', 'assays_cell_id', 'assays_assay_cell_type', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_type', 'assays_assay_test_type', 'assays_assay_subcellular_fraction', 'assays_curated_by', 'assays_src_id']",,0.8,0.71,0.91
264,ChEMBL,assays_both_50_50_ac3_av,Semantically-Joinable,1.0,"[1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'src_id', 'tissue_id', 'doc_id', 'bao_format', 'src_assay_id', 'description', 'assay_subcellular_fraction', 'assay_type', 'assay_strain', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_tissue', 'assay_cell_type', 'tid']","['ss_d', 'chmbl_d', 'dscrptn', 'dc_d', 'ss_rgnsm', 'tss_d', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_tp', 'ss_sbclllr_frctn', 'crtd_b', 'src_d', 'ss_strn']",,0.0,0.0,0.0
270,ChEMBL,assays_vertical_70_ac2_av,Semantically-Joinable,1.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]","['assay_id', 'src_id', 'assay_type', 'confidence_score', 'assay_cell_type', 'src_assay_id', 'assay_test_type', 'tid', 'description', 'tissue_id', 'assay_organism', 'assay_strain', 'cell_id', 'assay_category', 'assay_tax_id', 'relationship_type', 'doc_id', 'assay_tissue', 'assay_subcellular_fraction']","['CHI', 'ASI', 'Descr', 'T', 'ASSCETY', 'CEI', 'ASSORG', 'ASSTAI', 'TII', 'BFO', 'CONFSCO', 'RELATY', 'ASSTY', 'CURB', 'ASTET', 'ASSSTR', 'SI']",,0.67,0.5,1.0
284,ChEMBL,assays_vertical_50_ac4_av,Semantically-Joinable,1.0,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'cell_id', 'assay_organism', 'bao_format', 'assay_cell_type', 'src_id', 'assay_type', 'curated_by', 'assay_test_type', 'confidence_score', 'description', 'doc_id', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_subcellular_fraction']","['assays_ASSI', 'assays_CHEI', 'assays_Des', 'assays_T', 'assays_ASCT', 'assays_CEI', 'assays_ASORG', 'assays_TISI', 'assays_BFO', 'assays_CONSCO', 'assays_AST', 'assays_RELTY', 'assays_CURAB', 'assays_ASTET', 'assays_SI']",,0.0,0.0,0.0
286,ChEMBL,assays_vertical_1_ac4_av,Semantically-Joinable,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_CHEI', 'assays_ASSI', 'assays_Ti', 'assays_CEI', 'assays_TISI', 'assays_BFO', 'assays_CONFSC', 'assays_RELATT', 'assays_CURB', 'assays_SRI']",,0.0,0.0,0.0
310,ChEMBL,assays_vertical_50_ec_av,Semantically-Joinable,1.0,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]","['assay_id', 'assay_cell_type', 'assay_type', 'cell_id', 'assay_test_type', 'description', 'confidence_score', 'src_assay_id', 'assay_category', 'tid', 'assay_tax_id', 'doc_id', 'assay_organism', 'assay_strain', 'assay_tissue', 'assay_subcellular_fraction', 'relationship_type']","['chembl_id', 'assay_id', 'description', 'tid', 'assay_cell_type', 'cell_id', 'assay_tax_id', 'tissue_id', 'bao_format', 'confidence_score', 'assay_type', 'curated_by', 'assay_test_type', 'src_id']",,0.9,1.0,0.82
332,ChEMBL,assays_both_50_50_ec_av,Semantically-Joinable,1.0,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'relationship_type', 'description', 'variant_id', 'assay_organism', 'assay_type', 'src_assay_id', 'bao_format', 'doc_id', 'assay_test_type', 'assay_tax_id', 'assay_category', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid']","['chembl_id', 'assay_id', 'description', 'doc_id', 'assay_tax_id', 'assay_organism', 'tissue_id', 'cell_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_type', 'curated_by', 'assay_test_type', 'src_id']",,0.86,1.0,0.75
336,ChEMBL,assays_vertical_70_ac3_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'tissue_id', 'assay_tax_id', 'curated_by', 'assay_organism', 'doc_id', 'chembl_id', 'tid', 'assay_strain', 'cell_id', 'assay_tissue', 'description', 'variant_id', 'assay_type', 'src_id', 'assay_test_type', 'assay_category', 'assay_cell_type']","['ss_d', 'chmbl_d', 'dscrptn', 'dc_d', 'td', 'cll_d', 'ss_rgnsm', 'ss_tx_d', 'tss_d', 'ss_tss', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_sbclllr_frctn', 'crtd_b', 'ss_tp', 'ss_strn', 'src_d']",,0.12,0.07,1.0
338,ChEMBL,assays_vertical_30_ac4_av,Semantically-Joinable,1.0,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_tissue', 'relationship_type', 'assay_tax_id', 'tissue_id', 'variant_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_strain', 'assay_cell_type']","['assays_CHI', 'assays_ASSI', 'assays_T', 'assays_CI', 'assays_ASTI', 'assays_TISI', 'assays_ASSTI', 'assays_BAFOR', 'assays_CONFISCO', 'assays_RELATITY', 'assays_ASSUBCEFRAC', 'assays_CURB', 'assays_SRI']",0 days 00:01:57.685038,0.0,0.0,0.0
